order,video_id,title,length,length_seconds,views,notes
1,WIPJfEUV6Dw,"48 DAYS LOST: A Storm Capsized Our Boat At Sea",10:24,624,21541,"74 likes = 0.34% like rate; only video over 10 min; no captions"
2,6Y-iwjmLkEw,"21 DAYS TRAPPED: The Frostbite That Saved Us on the Andes",4:28,268,7400,
3,L0rI1xuhFEg,"49 DAYS LOST: Trapped in the Amazon Jungle with NO Food",4:43,283,6400,
4,FZgAXpmUSkg,"BURIED: We Survived the Avalanche But Were Trapped Under 10ft of Snow",5:57,357,239,
5,qYG8vKPZ3hk,"BURIED ALIVE: We Were Trapped in a Cave for 72 Hours",2:58,178,163,
6,WyplaMk9vnk,"TRAPPED: We Survived 96 Hours Beneath The Ice",4:01,241,72,"weakest performer"
7,jhk57-j94bw,"TRAPPED In A Secret Bunker: We Survived 7 DAYS In The Frozen Whiteout",4:55,295,743,
8,8ZYv4W2-UM4,"WE SURVIVED 200+ DAYS: The Ultimate Survival Compilation",27:25,1645,611,"compilation"
9,l8KM_JcW4-A,"ADRIFT: 38 Days Surviving the Pacific on an Inflatable Raft",14:53,893,523,"final upload, Nov 2025"
